v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted,cf_2,cf_3
,,,,,,,,,,,,,,,,,,,,376,371,"Lesson Syllabus",1
2839,"Register a new syllabus master",,,,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Syllabus Master tab""
2. ""Create a syllabus master""
","1. """"
2. ""User sees syllabus master is created successfully""
","1. """"
2. """"
",,,376,371,"Lesson Syllabus",,,no,,
6387,"Import a new syllabus master",,,,csv_import,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Syllabus Master tab""
2. ""Import a syllabus master""
","1. """"
2. ""User sees syllabus master is created successfully""
","1. """"
2. """"
",,,376,371,"Lesson Syllabus",,,no,,
2840,"Register a new syllabus detail",,"User has created a syllabus master",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open syllabus master detail""
2. ""Create a Syllabus Detail""
","1. """"
2. ""User sees syllabus detail is created successfully""
","1. """"
2. ""Syllabus Code: 1\nSyllabus Description: \n\u3053\u308c\u306f\u30c6\u30b9\u30c8\u7528\u306b\u4f5c\u6210\u3055\u308c\u305f\u65e5\u672c\u8a9e\u306e\u30b5\u30f3\u30d7\u30eb\u6587\u7ae0\u3067\u3059\u3002\u6587\u5b57\u6570\u304c\u6b63\u78ba\u306b500\u6587\u5b57\u306b\u306a\u308b\u3088\u3046\u306b\u69cb\u6210\u3055\u308c\u3066\u3044\u307e\u3059\u3002\u9577\u3044\u30c6\u30ad\u30b9\u30c8\u5165\u529b\u3084\u6539\u884c\u306e\u51e6\u7406\u3001\u30de\u30eb\u30c1\u30d0\u30a4\u30c8\u6587\u5b57\u306e\u8868\u793a\u78ba\u8a8d\u306a\u3069\u3001\u3055\u307e\u3056\u307e\u306a\u81ea\u52d5\u5316\u30c6\u30b9\u30c8\u3084\u691c\u8a3c\u306b\u4f7f\u7528\u3067\u304d\u307e\u3059\u3002\u3053\u306e\u6587\u3092\u30b3\u30d4\u30fc\u3057\u3066\u3001\u30d5\u30a9\u30fc\u30e0\u3084\u30c6\u30ad\u30b9\u30c8\u30a8\u30ea\u30a2\u306b\u8cbc\u308a\u4ed8\u3051\u3066\u8a66\u3059\u3053\u3068\u3067\u3001\u30a2\u30d7\u30ea\u30b1\u30fc\u30b7\u30e7\u30f3\u306e\u5165\u529b\u5236\u9650\u3084\u30ec\u30a4\u30a2\u30a6\u30c8\u306e\u5f71\u97ff\u3092\u78ba\u8a8d\u3059\u308b\u3053\u3068\u304c\u3067\u304d\u307e\u3059\u3002\u6587\u5b57\u6570\u3084\u30a8\u30f3\u30b3\u30fc\u30c7\u30a3\u30f3\u30b0\u306e\u5f71\u97ff\u3082\u91cd\u8981\u306a\u8981\u7d20\u3068\u306a\u308b\u305f\u3081\u3001\u6b63\u78ba\u306a\u51e6\u7406\u304c\u6c42\u3081\u3089\u308c\u307e\u3059\u3002""
",,,376,371,"Lesson Syllabus",,,no,,
6388,"Import a new syllabus detail",,"User has created a syllabus master",,csv_import,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open syllabus detail tab""
2. ""Prepare CSV file and import""
","1. """"
2. ""User sees syllabus detail is created successfully""
","1. """"
2. ""Syllabus Code: 1,2,3,4,...,100\nSyllabus Description:\n\u3053\u308c\u306f\u30c6\u30b9\u30c8\u7528\u306b\u4f5c\u6210\u3055\u308c\u305f\u65e5\u672c\u8a9e\u306e\u30b5\u30f3\u30d7\u30eb\u6587\u7ae0\u3067\u3059\u3002\u6587\u5b57\u6570\u304c\u6b63\u78ba\u306b500\u6587\u5b57\u306b\u306a\u308b\u3088\u3046\u306b\u69cb\u6210\u3055\u308c\u3066\u3044\u307e\u3059\u3002\u9577\u3044\u30c6\u30ad\u30b9\u30c8\u5165\u529b\u3084\u6539\u884c\u306e\u51e6\u7406\u3001\u30de\u30eb\u30c1\u30d0\u30a4\u30c8\u6587\u5b57\u306e\u8868\u793a\u78ba\u8a8d\u306a\u3069\u3001\u3055\u307e\u3056\u307e\u306a\u81ea\u52d5\u5316\u30c6\u30b9\u30c8\u3084\u691c\u8a3c\u306b\u4f7f\u7528\u3067\u304d\u307e\u3059\u3002\u3053\u306e\u6587\u3092\u30b3\u30d4\u30fc\u3057\u3066\u3001\u30d5\u30a9\u30fc\u30e0\u3084\u30c6\u30ad\u30b9\u30c8\u30a8\u30ea\u30a2\u306b\u8cbc\u308a\u4ed8\u3051\u3066\u8a66\u3059\u3053\u3068\u3067\u3001\u30a2\u30d7\u30ea\u30b1\u30fc\u30b7\u30e7\u30f3\u306e\u5165\u529b\u5236\u9650\u3084\u30ec\u30a4\u30a2\u30a6\u30c8\u306e\u5f71\u97ff\u3092\u78ba\u8a8d\u3059\u308b\u3053\u3068\u304c\u3067\u304d\u307e\u3059\u3002\u6587\u5b57\u6570\u3084\u30a8\u30f3\u30b3\u30fc\u30c7\u30a3\u30f3\u30b0\u306e\u5f71\u97ff\u3082\u91cd\u8981\u306a\u8981\u7d20\u3068\u306a\u308b\u305f\u3081\u3001\u6b63\u78ba\u306a\u51e6\u7406\u304c\u6c42\u3081\u3089\u308c\u307e\u3059\u3002""
",,,376,371,"Lesson Syllabus",,,no,,
2841,"Associate a syllabus master to a course master",,"User has created a course master, syllabus master+syllabus detail",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open course master detail""
2. ""Associated syllabus master""
","1. """"
2. ""User sees syllabus master is associated to course master""
","1. """"
2. """"
",,,376,371,"Lesson Syllabus",,,no,,
6389,"Import a course master with syllabus master",,"User has created a course master, syllabus master+syllabus detail",,csv_import,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open course master tab""
2. ""Prepare CSV file and import""
","1. """"
2. ""User sees course master with syllabus master is created successfully""
","1. """"
2. """"
",,,376,371,"Lesson Syllabus",,,no,,
2842,"Create an one-time group lesson with syllabus detail",,"User has associated syllabus master to course master",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Create an one-time group lesson with lesson code = syllabus code""
","1. ""User sees auto-fill lesson's syllabus description = syllabus detail's syllabus description follow lesson code and syllabus code""
","1. """"
",,,376,371,"Lesson Syllabus",,,no,,
2843,"Create a recurring group lesson with syllabus detail on Calendar",,"User has associated syllabus master to course master",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Create a recurring group lesson with lesson code = syllabus code on Calendar""
","1. ""User sees auto-fill lesson's syllabus description = syllabus detail's syllabus description in all lessons follow lesson code and syllabus code""
","1. """"
",,,376,371,"Lesson Syllabus",,,no,,
2844,"Create a lesson course schedule with syllabus detail",,"User has associated syllabus master to course master",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Create a group lesson course schedule with lesson code = syllabus code""
","1. ""User sees auto-fill lesson's syllabus description = syllabus detail's syllabus description in all lessons follow lesson code and syllabus code""
","1. """"
",,,376,371,"Lesson Syllabus",,,no,,
