Category,Feature,full_access,center_level_edit,bo_teacher,Note
Lesson,Create Lesson,TRUE,TRUE,FALSE,
Lesson,Add Lesson in Lesson Schedule,TRUE,TRUE,FALSE,
Lesson,Extend Recurring Lesson End Date,TRUE,TRUE,FALSE,
Lesson,Import Lessons via CSV,TRUE,TRUE,FALSE,
Lesson,Duplicate Lesson,TRUE,TRUE,FALSE,
Lesson,View Lesson List & Detail,TRUE,TRUE,TRUE,
Lesson,Edit Lesson,TRUE,TRUE,TRUE,
Lesson,View Lesson Teacher,TRUE,TRUE,TRUE,
Lesson,View Teacher Clashing Alert,TRUE,TRUE,TRUE,
Lesson,Collect Attendance,TRUE,TRUE,TRUE,
Lesson,Assign Class,TRUE,TRUE,FALSE,
Lesson,Change Location Course,TRUE,FALSE,FALSE,
Lesson,Update/View Risk Flag,TRUE,TRUE,TRUE,
Lesson,View New Student Flag,TRUE,TRUE,TRUE,
Lesson,Assign / Unassign Teacher in Lesson,TRUE,TRUE,FALSE,
Lesson,Assign / Unassign Student in Lesson,TRUE,TRUE,TRUE,
Lesson,Reallocate Student in Lesson,TRUE,TRUE,FALSE,
Lesson,Assign / Unassign Trial Student,TRUE,TRUE,TRUE,
Lesson,Delete Lesson,TRUE,TRUE,FALSE,
Lesson,View Lesson Allocation,TRUE,TRUE,FALSE,
Lesson,Create Lesson Allocation (New Order Group),TRUE,TRUE,FALSE,Depends on Order team permission
Lesson,Update Lesson Allocation,TRUE,TRUE,FALSE,Depends on Order team permission
Lesson,Delete Lesson Allocation,TRUE,TRUE,FALSE,Depends on Order team permission
Lesson,Reprocess Lesson Allocation,TRUE,TRUE,FALSE,
Lesson Report,View Lesson Report,TRUE,TRUE,TRUE,
Lesson Report,Edit Lesson Report,TRUE,TRUE,TRUE,
Lesson Report,Change Lesson Report Status,TRUE,TRUE,TRUE,
Calendar,View Lesson on Calendar,TRUE,TRUE,TRUE,
Calendar,View Event on Calendar,TRUE,TRUE,TRUE,
Calendar,Create Lesson from Calendar,TRUE,TRUE,FALSE,
Calendar,Edit Lesson from Calendar,TRUE,TRUE,TRUE,
Calendar,Assign / Unassign Teacher from Calendar,TRUE,TRUE,FALSE,
Calendar,Assign / Unassign Student from Calendar,TRUE,TRUE,FALSE,
Calendar,Update Lesson Status from Calendar,TRUE,TRUE,FALSE,
Calendar,Reallocate Student from Calendar,TRUE,TRUE,FALSE,
Calendar,Filter Calendar,TRUE,TRUE,TRUE,
Calendar,View Clashing Alert (Lesson vs Event),TRUE,TRUE,TRUE,
Calendar,Delete Lesson from Calendar,TRUE,TRUE,FALSE,
Calendar,Duplicate Lesson from Calendar,TRUE,TRUE,FALSE,
Event,Create Event Master,TRUE,TRUE,FALSE,
Event,Import Event Masters via CSV,TRUE,TRUE,FALSE,
Event,View Event Master,TRUE,TRUE,FALSE,
Event,Edit Event Master,TRUE,TRUE,FALSE,
Event,Delete Event Master,TRUE,TRUE,FALSE,
